School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Marquette,5.34,7.49,12.84,2,4,1
Troy Buchanan,4.74,7.9,12.64,9,2,2
Blue Springs South,5.05,7.41,12.46,5,5,3
Lee's Summit West,3.98,8.33,12.31,19,1,4
Lee's Summit North,4.96,6.7,11.66,6,10,5
Blair Oaks,4.74,6.69,11.43,8,11,6
Mexico,4.25,6.88,11.13,12,8,7
Holt,5.16,5.94,11.11,4,17,8
Staley,3.23,7.81,11.04,34,3,9
Helias Catholic,3.76,7.26,11.03,21,6,10
Liberty,5.18,5.48,10.66,3,24,11
Trenton,4.19,6.16,10.35,14,15,12
Rock Bridge,3.81,6.52,10.33,20,12,13
Raymore-Peculiar,3.29,6.95,10.24,31,7,14
Bowling Green,3.24,6.71,9.96,32,9,15
Jefferson City,3.46,6.49,9.95,26,13,16
Eureka,4.4,5.39,9.79,11,25,17
Blue Springs,4.06,5.04,9.11,18,29,18
Washington,2.91,6.02,8.93,46,16,19
Park Hill South,4.07,4.84,8.91,17,31,20
Seckman,4.17,4.73,8.89,15,33,21
Ft. Zumwalt West,4.71,3.87,8.58,10,51,22
Hillsboro,2.96,5.57,8.53,42,20,23
McDonald County,2.92,5.55,8.48,45,21,24
Lindbergh,6.37,2.07,8.44,1,102,25
Webb City,3.67,4.75,8.42,22,32,26
Oakville,2.95,5.17,8.12,43,27,27
Father Tolton,2.5,5.51,8.0,58,22,28
Platte County,2.5,5.49,7.99,57,23,29
Bolivar,2.78,5.14,7.92,50,28,30
Republic,4.91,2.97,7.88,7,73,31
Ozark,4.1,3.77,7.87,16,54,32
Oak Grove,3.31,4.52,7.83,30,35,33
Penney,2.09,5.62,7.71,72,19,34
Timberland,3.58,3.97,7.55,23,44,35
Holden,4.23,3.3,7.54,13,66,36
Reeds Spring,1.71,5.7,7.42,88,18,37
Eugene,2.49,4.92,7.41,59,30,38
Park Hill,3.02,4.22,7.25,39,40,39
Kickapoo,2.71,4.45,7.16,51,36,40
Fatima,2.7,4.36,7.05,52,39,41
Northwest (Cedar Hill),3.57,3.43,7.0,24,61,42
Fulton,3.19,3.76,6.95,35,56,43
Francis Howell Central,3.38,3.51,6.89,28,60,44
Highland,2.37,4.06,6.43,66,43,45
Kearney,2.27,4.16,6.43,70,41,46
Liberty North,2.46,3.95,6.41,63,45,47
Camdenton,3.01,3.4,6.41,40,63,48
St. Joseph's Academy,1.96,4.36,6.33,74,37,49
Marceline,2.88,3.36,6.25,47,64,50
Schuyler County,1.79,4.36,6.15,82,38,51
Sherwood,1.42,4.72,6.14,99,34,52
Logan-Rogersville,2.65,3.4,6.05,55,62,53
Lathrop,-0.32,6.29,5.97,168,14,54
Plattsburg,1.97,3.91,5.88,73,48,55
Centralia,1.9,3.94,5.84,79,47,56
Monett,3.47,2.22,5.69,25,96,57
Southern Boone,0.42,5.25,5.67,133,26,58
Monroe City,1.76,3.89,5.65,84,50,59
Grain Valley,2.31,3.29,5.6,68,67,60
Parkway South,2.69,2.86,5.54,53,78,61
Ft. Zumwalt South,3.24,2.29,5.53,33,93,62
St. Charles,1.75,3.74,5.49,86,57,63
Lafayette (Wildwood),1.51,3.95,5.46,96,46,64
Central (St. Joseph),1.61,3.81,5.42,94,52,65
Notre Dame (Cape Girardeau),2.99,2.41,5.4,41,88,66
Battle,1.55,3.8,5.35,95,53,67
Liberty (Wentzville),3.41,1.9,5.31,27,112,68
Lutheran South,2.93,2.39,5.31,44,90,69
Nixa,2.43,2.87,5.3,64,75,70
Knox County,1.14,4.14,5.27,107,42,71
Palmyra,3.03,2.06,5.09,38,103,72
St. Dominic,2.53,2.5,5.02,56,84,73
Union,1.92,3.06,4.99,77,72,74
Warrensburg,1.92,2.87,4.79,78,76,75
Kirkwood,3.34,1.34,4.68,29,128,76
Macon,2.39,2.28,4.67,65,94,77
Windsor (Imperial),2.34,2.32,4.66,67,92,78
Lee's Summit,1.78,2.86,4.64,83,77,79
Putnam County,1.45,3.13,4.58,97,71,80
Jackson,1.36,3.22,4.58,102,69,81
Neosho,2.48,2.0,4.49,61,106,82
Maysville,1.71,2.69,4.4,90,81,83
Canton,1.0,3.2,4.2,111,70,84
Poplar Bluff,1.71,2.41,4.12,89,89,85
