School,OFF Rating,DEF Rating,OVR Rating,OFF Rank,DEF Rank,OVR Rank
Marquette,5.34,7.49,12.84,2,4,1
Troy Buchanan,4.74,7.9,12.64,8,2,2
Blue Springs South,5.05,7.41,12.46,5,5,3
Lee's Summit West,3.98,8.33,12.31,15,1,4
Lee's Summit North,4.96,6.7,11.66,6,7,5
Holt,5.16,5.94,11.11,4,11,6
Staley,3.23,7.81,11.04,26,3,7
Liberty,5.18,5.48,10.66,3,13,8
Rock Bridge,3.81,6.52,10.33,16,8,9
Raymore-Peculiar,3.29,6.95,10.24,24,6,10
Jefferson City,3.46,6.49,9.95,20,9,11
Eureka,4.4,5.39,9.79,10,14,12
Blue Springs,4.06,5.04,9.11,14,16,13
Washington,2.91,6.02,8.93,31,10,14
Park Hill South,4.07,4.84,8.91,13,17,15
Seckman,4.17,4.73,8.89,11,19,16
Ft. Zumwalt West,4.71,3.87,8.58,9,26,17
Lindbergh,6.37,2.07,8.44,1,45,18
Webb City,3.67,4.75,8.42,17,18,19
Oakville,2.95,5.17,8.12,30,15,20
Platte County,2.5,5.49,7.99,34,12,21
Republic,4.91,2.97,7.88,7,37,22
Ozark,4.1,3.77,7.87,12,29,23
Timberland,3.58,3.97,7.55,18,23,24
Park Hill,3.02,4.22,7.25,28,22,25
Kickapoo,2.71,4.45,7.16,32,20,26
Northwest (Cedar Hill),3.57,3.43,7.0,19,32,27
Francis Howell Central,3.38,3.51,6.89,22,31,28
Liberty North,2.46,3.95,6.41,36,24,29
Camdenton,3.01,3.4,6.41,29,33,30
St. Joseph's Academy,1.96,4.36,6.33,40,21,31
Grain Valley,2.31,3.29,5.6,38,35,32
Parkway South,2.69,2.86,5.54,33,40,33
Ft. Zumwalt South,3.24,2.29,5.53,25,43,34
Lafayette (Wildwood),1.51,3.95,5.46,48,25,35
Central (St. Joseph),1.61,3.81,5.42,46,27,36
Battle,1.55,3.8,5.35,47,28,37
Liberty (Wentzville),3.41,1.9,5.31,21,47,38
Nixa,2.43,2.87,5.3,37,38,39
Kirkwood,3.34,1.34,4.68,23,51,40
Lee's Summit,1.78,2.86,4.64,42,39,41
Jackson,1.36,3.22,4.58,49,36,42
Neosho,2.48,2.0,4.49,35,46,43
Poplar Bluff,1.71,2.41,4.12,44,42,44
Webster Groves,0.37,3.32,3.69,56,34,45
Cor Jesu Academy,1.85,1.45,3.3,41,50,46
Fox,3.09,0.17,3.26,27,54,47
Rockwood Summit,1.75,1.49,3.25,43,49,48
Carthage,1.0,2.13,3.13,51,44,49
Hazelwood West,-1.17,3.56,2.39,63,30,50
Francis Howell,0.71,1.14,1.85,53,52,51
Branson,1.64,0.14,1.78,45,55,52
Willard,-0.06,1.78,1.72,58,48,53
Rolla,2.16,-0.62,1.54,39,60,54
Fort Osage,0.54,0.98,1.52,55,53,55
St. Teresa's Academy,1.1,-0.05,1.05,50,56,56
Parkway West,-2.0,2.86,0.85,67,41,57
Ft. Zumwalt North,0.75,-0.2,0.55,52,57,58
Joplin,0.55,-1.26,-0.72,54,64,59
Belton,-0.21,-1.03,-1.24,60,63,60
Francis Howell North,-1.24,-0.44,-1.68,64,59,61
Ft. Zumwalt East,-1.34,-0.39,-1.72,65,58,62
Oak Park,-0.12,-1.79,-1.9,59,65,63
Lebanon,0.2,-2.36,-2.17,57,66,64
Central (Cape Girardeau),-0.51,-2.8,-3.31,61,68,65
Parkway Central,-2.55,-0.77,-3.33,71,61,66
Pattonville,-2.4,-0.95,-3.34,69,62,67
Glendale,-0.98,-3.15,-4.13,62,69,68
Ritenour,-3.82,-2.68,-6.51,75,67,69
Nerinx Hall,-1.66,-5.09,-6.76,66,72,70
Winnetonka,-3.12,-5.06,-8.18,72,71,71
William Chrisman,-4.34,-4.23,-8.57,76,70,72
Waynesville,-2.23,-6.92,-9.15,68,73,73
Ladue Horton Watkins,-2.47,-7.06,-9.53,70,75,74
Hazelwood Central,-3.46,-7.33,-10.79,73,76,75
North Kansas City,-3.5,-7.38,-10.87,74,77,76
Raytown South,-4.68,-6.94,-11.62,78,74,77
Raytown,-5.13,-7.54,-12.67,80,78,78
Mehlville,-5.36,-8.62,-13.98,81,79,79
Grandview,-6.65,-10.08,-16.72,82,81,80
McCluer North,-4.6,-12.43,-17.03,77,82,81
Central (Springfield),-9.01,-9.08,-18.1,83,80,82
Parkview,-4.93,-13.27,-18.2,79,83,83
Ruskin,-12.56,-13.99,-26.55,84,84,84
