Date,Home Team,Home Score,Away Team,Away Score
2018-08-18,New Bloomfield,1,Fulton,7
2018-08-18,Wright City,0,Fulton,8
2018-08-20,Wellsville-Middletown,0,Louisiana,0
2018-08-24,Dora,11,Alton,4
2018-08-24,Willard,1,Bolivar,11
2018-08-24,Webster Groves,1,Camdenton,2
2018-08-24,DeSoto,4,Camdenton,7
2018-08-24,Salem,2,East Carter,4
2018-08-24,Leeton,7,Fair Play,6
2018-08-24,Oakville,5,Fox,9
2018-08-24,Fox,10,Ft. Zumwalt North,9
2018-08-24,Marshfield,4,Glendale,2
2018-08-24,Marion C. Early,8,Halfway,1
2018-08-24,Norwood,3,Hartville,2
2018-08-24,Humansville,10,Hermitage,9
2018-08-24,Aurora,1,Hillcrest,11
2018-08-24,Ozark,7,Jefferson City,3
2018-08-24,Northeast (Cairo),2,La Plata,4
2018-08-24,Liberty North,16,Ladue Horton Watkins,0
2018-08-24,Lawson,0,Lafayette (St. Joseph),9
2018-08-24,Westran,7,Lebanon,8
2018-08-24,Novinger,1,Madison,16
2018-08-24,Carthage,1,McDonald County,4
2018-08-24,Kickapoo,3,Nixa,4
2018-08-24,Northeast Nodaway,1,North Harrison,11
2018-08-24,Battle,9,Palmyra,6
2018-08-24,Carl Junction,0,Reeds Spring,10
2018-08-24,Monett,5,Republic,7
2018-08-24,Clayton,0,St. Charles,15
2018-08-24,Summit Christian Academy,5,Weaubleau,6
2018-08-25,Princeton,6,Albany,11
2018-08-25,Worth County,6,Albany,3
2018-08-25,North Andrew,5,Albany,13
2018-08-25,Reeds Spring,8,Ava,0
2018-08-25,Cassville,8,Ava,5
2018-08-25,Liberty (Wentzville),9,Battle,10
2018-08-25,St. Charles,11,Belton,3
2018-08-25,Liberty,14,Belton,2
2018-08-25,Excelsior Springs,4,Benton,1
2018-08-25,Maysville,5,Benton,6
2018-08-25,Hale,7,Bevier,3
2018-08-25,Higbee,7,Bevier,17
2018-08-25,Notre Dame (St. Louis),15,Bishop DuBourg,0
2018-08-25,Festus,3,Blue Springs South,10
2018-08-25,Lutheran South,0,Blue Springs South,22
2018-08-25,Lindbergh,1,Blue Springs South,11
2018-08-25,Moberly,10,Boonville,5
2018-08-25,Fayette,1,Boonville,5
2018-08-25,Kirksville,9,Boonville,1
2018-08-25,Washington,5,Bowling Green,2
2018-08-25,Troy Buchanan,3,Bowling Green,0
2018-08-25,Windsor (Imperial),11,Branson,4
2018-08-25,Mansfield,3,Buffalo,7
2018-08-25,Iberia,4,Buffalo,0
2018-08-25,Dixon,2,Buffalo,13
2018-08-25,Webster Groves,1,Camdenton,2
2018-08-25,DeSoto,4,Camdenton,7
2018-08-25,Osage,6,Camdenton,5
2018-08-25,Eureka,8,Camdenton,5
2018-08-25,Mid-Buchanan,9,Cameron,7
2018-08-25,Maysville,15,Cameron,4
2018-08-25,Pilot Grove,7,Carrollton,0
2018-08-25,California,0,Carrollton,5
2018-08-25,St. Michael the Archangel,1,Carrollton,18
2018-08-25,Reeds Spring,12,Cassville,0
2018-08-25,Mid-Buchanan,11,Central (St. Joseph),7
2018-08-25,DeKalb,3,Central (St. Joseph),8
2018-08-25,Cameron,2,Central (St. Joseph),13
2018-08-25,Benton,0,Central (St. Joseph),9
2018-08-25,Mansfield,15,Clinton,0
2018-08-25,El Dorado Springs,21,Clinton,4
2018-08-25,Smithville,5,Clinton,8
2018-08-25,Windsor (Imperial),2,DeSoto,3
2018-08-25,Jackson,3,DeSoto,4
2018-08-25,Warrenton,0,DeSoto,2
2018-08-25,El Dorado Springs,0,Dixon,13
2018-08-25,Smithville,0,Dixon,3
2018-08-25,Willard,15,Dora,4
2018-08-25,North Platte,0,East Buchanan,4
2018-08-25,Lexington,3,East Buchanan,2
2018-08-25,West Platte,4,East Buchanan,14
2018-08-25,Branson,10,Eldon,6
2018-08-25,Pacific,10,Eldon,9
2018-08-25,New Franklin,0,Eugene,15
2018-08-25,Webb City,0,Eureka,8
2018-08-25,Jackson,1,Eureka,3
2018-08-25,Owensville,3,Eureka,11
2018-08-25,Mid-Buchanan,10,Excelsior Springs,5
2018-08-25,Maysville,2,Excelsior Springs,11
2018-08-25,Summit Christian Academy,13,Fair Play,4
2018-08-25,Hermitage,9,Fair Play,5
2018-08-25,Wright City,1,Fayette,0
2018-08-25,Poplar Bluff,14,Festus,1
2018-08-25,Incarnate Word Academy,8,Festus,11
2018-08-25,Oakville,5,Fox,9
2018-08-25,Liberty North,6,Fox,3
2018-08-25,Poplar Bluff,7,Francis Howell,5
2018-08-25,Ursuline Academy,8,Francis Howell,5
2018-08-25,Incarnate Word Academy,3,Francis Howell,3
2018-08-25,Timberland,2,Francis Howell Central,5
2018-08-25,Highland,2,Francis Howell Central,9
2018-08-25,Hillsboro,5,Francis Howell Central,0
2018-08-25,Father Tolton,12,Fredericktown,3
2018-08-25,North County,8,Fredericktown,0
2018-08-25,Jefferson (Festus),7,Fredericktown,6
2018-08-25,Lafayette (Wildwood),8,Ft. Zumwalt North,7
2018-08-25,Cor Jesu Academy,4,Ft. Zumwalt North,8
2018-08-25,Fox,10,Ft. Zumwalt North,9
2018-08-25,Hannibal,7,Ft. Zumwalt South,15
